(time1+time2)/2;stress/non-stress
10:30:25:191;0
10:30:25:347;0
10:30:25:503;0
10:30:25:659;0
10:30:25:316;1
10:30:25:472;1
10:30:25:628;1
10:30:26:284;1
10:30:26:441;0
10:30:26:597;0
10:30:26:753;1
10:30:26:409;0
10:30:26:566;1
10:30:27:222;0
10:30:27:378;0
10:30:27:534;0
10:30:27:691;0
10:30:27:347;0
10:30:27:503;0
10:30:27:659;0
10:30:28:316;1
10:30:28:472;1
10:30:28:628;1
10:30:28:784;1
10:30:28:441;1
10:30:28:597;1
10:30:29:253;1
10:30:29:409;1
10:30:29:566;0
10:30:29:722;0
10:30:29:378;0
10:30:29:534;0
10:30:30:191;0
10:30:30:347;0
10:30:30:503;0
10:30:30:659;0
10:30:30:316;0
10:30:30:472;0
10:30:30:628;0
10:30:31:284;0
10:30:31:441;0
10:30:31:597;0
10:30:31:753;0
10:30:31:409;0
10:30:31:566;0
10:30:32:222;0
10:30:32:378;0
10:30:32:534;0
10:30:32:691;0
10:30:32:347;0
10:30:32:503;0
10:30:32:659;0
10:30:33:316;0
10:30:33:472;0
10:30:33:628;0
10:30:33:784;0
10:30:33:441;0
10:30:33:597;0
10:30:34:253;0
10:30:34:409;0
10:30:34:566;0
10:30:34:722;0
10:30:34:378;0
10:30:34:534;0
10:30:35:191;0
10:30:35:347;0
10:30:35:503;0
10:30:35:659;0
10:30:35:316;0
10:30:35:472;0
10:30:35:628;0
10:30:36:284;1
10:30:36:441;1
10:30:36:597;1
10:30:36:753;1
10:30:36:409;1
10:30:36:566;1
10:30:37:222;1
10:30:37:378;0
10:30:37:534;0
10:30:37:691;0
10:30:37:347;0
10:30:37:503;0
10:30:37:659;1
10:30:38:316;1
10:30:38:472;1
10:30:38:628;1
10:30:38:784;1
10:30:38:441;1
10:30:38:597;1
10:30:39:253;1
10:30:39:409;0
10:30:39:566;0
10:30:39:722;0
10:30:39:378;0
10:30:39:534;0
10:30:40:191;0
10:30:40:347;0
10:30:40:503;0
10:30:40:659;0
10:30:40:316;0
10:30:40:472;0
10:30:40:628;1
10:30:41:284;1
10:30:41:441;1
10:30:41:597;1
10:30:41:753;1
10:30:41:409;0
10:30:41:566;0
10:30:42:222;0
10:30:42:378;0
10:30:42:534;0
10:30:42:691;0
10:30:42:347;0
10:30:42:503;0
10:30:42:659;0
10:30:43:316;1
10:30:43:472;0
10:30:43:628;0
10:30:43:784;0
10:30:43:441;0
10:30:43:597;0
10:30:44:253;0
10:30:44:409;0
10:30:44:566;0
10:30:44:722;0
10:30:44:378;0
10:30:44:534;0
10:30:45:191;0
10:30:45:347;0
10:30:45:503;0
10:30:45:659;1
10:30:45:316;1
10:30:45:472;1
10:30:45:628;1
10:30:46:284;1
10:30:46:441;1
10:30:46:597;1
10:30:46:753;1
10:30:46:409;1
10:30:46:566;1
10:30:47:222;0
10:30:47:378;0
10:30:47:534;0
10:30:47:691;0
10:30:47:347;0
10:30:47:503;0
10:30:47:659;0
10:30:48:316;1
10:30:48:472;0
10:30:48:628;0
10:30:48:784;0
10:30:48:441;0
10:30:48:597;0
10:30:49:253;0
10:30:49:409;0
10:30:49:566;0
10:30:49:722;0
10:30:49:378;0
10:30:49:534;0
10:30:50:191;0
10:30:50:347;0
10:30:50:503;0
10:30:50:659;0
10:30:50:316;0
10:30:50:472;0
10:30:50:628;0
10:30:51:284;0
10:30:51:441;0
10:30:51:597;0
10:30:51:753;0
10:30:51:409;0
10:30:51:566;0
10:30:52:222;0
10:30:52:378;0
10:30:52:534;0
10:30:52:691;0
10:30:52:347;0
10:30:52:503;0
10:30:52:659;0
10:30:53:316;0
10:30:53:472;0
10:30:53:628;0
10:30:53:784;0
10:30:53:441;0
10:30:53:597;0
10:30:54:253;0
10:30:54:409;1
10:30:54:566;1
10:30:54:722;1
10:30:54:378;1
10:30:54:534;1
10:30:55:191;1
10:30:55:347;1
10:30:55:503;1
10:30:55:659;1
10:30:55:316;1
10:30:55:472;1
10:30:55:628;1
10:30:56:284;1
10:30:56:441;1
10:30:56:597;1
10:30:56:753;1
10:30:56:409;1
10:30:56:566;1
10:30:57:222;0
10:30:57:378;0
10:30:57:534;0
10:30:57:691;0
10:30:27:347;0
10:30:27:503;0
10:30:27:659;0
10:30:28:316;0
10:30:28:472;0
10:30:28:628;0
10:30:28:784;0
10:30:28:441;0
10:30:28:597;0
10:30:29:253;0
10:30:29:409;0
10:30:29:566;0
10:30:29:722;0
10:30:29:378;0
10:30:29:534;0
10:30:30:191;0
10:30:30:347;0
10:30:30:503;0
10:30:30:659;0
10:30:30:316;0
10:30:30:472;0
10:30:30:628;0
10:30:31:284;1
10:30:31:441;0
10:30:31:597;0
10:30:31:753;0
10:30:31:409;0
10:30:31:566;0
10:31:2:222;0
10:31:2:378;0
10:31:2:534;0
10:31:2:691;0
10:31:2:347;0
10:31:2:503;0
10:31:2:659;0
10:31:3:316;0
10:31:3:472;0
10:31:3:628;0
10:31:3:784;0
10:31:3:441;0
10:31:3:597;0
10:31:4:253;0
10:31:4:409;0
10:31:4:566;0
10:31:4:722;0
10:31:4:378;0
10:31:4:534;0
10:31:5:191;0
10:31:5:347;0
10:31:5:503;0
10:31:5:659;0
10:31:5:316;0
10:31:5:472;0
10:31:5:628;0
10:31:6:284;1
10:31:6:441;1
10:31:6:597;1
10:31:6:753;1
10:31:6:409;0
10:31:6:566;0
10:31:7:222;0
10:31:7:378;0
10:31:7:534;0
10:31:7:691;0
10:31:7:347;0
10:31:7:503;0
10:31:7:659;1
10:31:8:316;1
10:31:8:472;1
10:31:8:628;1
10:31:8:784;1
10:31:8:441;0
10:31:8:597;0
10:31:9:253;0
10:31:9:409;0
10:31:9:566;0
10:31:9:722;0
10:31:9:378;0
10:31:9:534;0
10:31:10:191;0
10:31:10:347;0
10:31:10:503;0
10:31:10:659;0
10:31:10:316;0
10:31:10:472;0
10:31:10:628;0
10:31:11:284;0
10:31:11:441;0
10:31:11:597;0
10:31:11:753;0
10:31:11:409;0
10:31:11:566;0
10:31:12:222;0
10:31:12:378;0
10:31:12:534;1
10:31:12:691;1
10:31:12:347;1
10:31:12:503;1
10:31:12:659;1
10:31:13:316;1
10:31:13:472;1
10:31:13:628;1
10:31:13:784;0
10:31:13:441;0
10:31:13:597;0
10:31:14:253;0
10:31:14:409;0
10:31:14:566;0
10:31:14:722;0
10:31:14:378;0
10:31:14:534;0
10:31:15:191;0
10:31:15:347;0
10:31:15:503;0
10:31:15:659;0
10:31:15:316;0
10:31:15:472;0
10:31:15:628;0
10:31:16:284;0
10:31:16:441;0
10:31:16:597;0
10:31:16:753;0
10:31:16:409;0
10:31:16:566;0
10:31:17:222;0
10:31:17:378;0
10:31:17:534;0
10:31:17:691;0
10:31:17:347;0
10:31:17:503;0
10:31:17:659;0
10:31:18:316;0
10:31:18:472;0
10:31:18:628;0
10:31:18:784;0
10:31:18:441;0
10:31:18:597;0
10:31:19:253;0
10:31:19:409;0
10:31:19:566;0
10:31:19:722;0
10:31:19:378;0
10:31:19:534;0
10:31:20:191;0
10:31:20:347;0
10:31:20:503;0
10:31:20:659;0
10:31:20:316;0
10:31:20:472;0
10:31:20:628;0
10:31:21:284;0
10:31:21:441;0
10:31:21:597;0
10:31:21:753;0
10:31:21:409;0
10:31:21:566;0
10:31:22:222;0
10:31:22:378;0
10:31:22:534;0
10:31:22:691;0
10:31:22:347;0
10:31:22:503;0
10:31:22:659;0
10:31:23:316;0
10:31:23:472;0
10:31:23:628;0
10:31:23:784;0
10:31:23:441;0
10:31:23:597;0
10:31:24:253;0
10:31:24:409;0
10:31:24:566;0
10:31:24:722;0
10:31:24:378;0
10:31:24:534;0
10:31:25:191;0
10:31:25:347;0
10:31:25:503;0
10:31:25:659;0
10:31:25:316;0
10:31:25:472;1
10:31:25:628;1
10:31:26:284;1
10:31:26:441;1
10:31:26:597;1
10:31:26:753;1
10:31:26:409;1
10:31:26:566;0
10:31:27:222;0
10:31:27:378;0
10:31:27:534;0
10:31:27:691;0
10:31:27:347;0
10:31:27:503;0
10:31:27:659;0
10:31:28:316;0
10:31:28:472;0
10:31:28:628;0
10:31:28:784;0
10:31:28:441;0
10:31:28:597;0
10:31:29:253;0
10:31:29:409;0
10:31:29:566;0
10:31:29:722;0
10:31:29:378;0
10:31:29:534;0
10:31:30:191;0
10:31:30:347;0
10:31:30:503;0
10:31:30:659;0
10:31:30:316;0
10:31:30:472;0
10:31:30:628;0
10:31:31:284;0
10:31:31:441;0
10:31:31:597;0
10:31:31:753;1
10:31:31:409;1
10:31:31:566;0
10:31:32:222;0
10:31:32:378;0
10:31:32:534;0
10:31:32:691;0
10:31:32:347;0
10:31:32:503;0
10:31:32:659;0
10:31:33:316;0
10:31:33:472;0
10:31:33:628;0
10:31:33:784;0
10:31:33:441;0
10:31:33:597;0
10:31:34:253;0
10:31:34:409;0
10:31:34:566;0
10:31:34:722;0
10:31:34:378;0
10:31:34:534;0
10:31:35:191;0
10:31:35:347;0
10:31:35:503;0
10:31:35:659;0
10:31:35:316;0
10:31:35:472;0
10:31:35:628;0
10:31:36:284;0
10:31:36:441;0
10:31:36:597;0
10:31:36:753;0
10:31:36:409;0
10:31:36:566;0
10:31:37:222;0
10:31:37:378;0
10:31:37:534;0
10:31:37:691;0
10:31:37:347;0
10:31:37:503;0
10:31:37:659;0
10:31:38:316;0
10:31:38:472;0
10:31:38:628;0
10:31:38:784;0
10:31:38:441;0
10:31:38:597;0
10:31:39:253;0
10:31:39:409;0
10:31:39:566;1
10:31:39:722;0
10:31:39:378;1
10:31:39:534;1
10:31:40:191;0
10:31:40:347;0
10:31:40:503;0
10:31:40:659;0
10:31:40:316;0
10:31:40:472;0
10:31:40:628;0
10:31:41:284;0
10:31:41:441;0
10:31:41:597;0
10:31:41:753;0
10:31:41:409;0
10:31:41:566;0
10:31:42:222;0
10:31:42:378;0
10:31:42:534;0
10:31:42:691;0
10:31:42:347;0
10:31:42:503;0
10:31:42:659;0
10:31:43:316;0
10:31:43:472;0
10:31:43:628;0
10:31:43:784;0
10:31:43:441;0
10:31:43:597;0
10:31:44:253;0
10:31:44:409;0
10:31:44:566;0
10:31:44:722;0
10:31:44:378;0
10:31:44:534;0
10:31:45:191;0
10:31:45:347;1
10:31:45:503;0
10:31:45:659;0
10:31:45:316;0
10:31:45:472;1
10:31:45:628;1
10:31:46:284;1
10:31:46:441;1
10:31:46:597;0
10:31:46:753;0
10:31:46:409;0
10:31:46:566;0
10:31:47:222;0
10:31:47:378;0
10:31:47:534;0
10:31:47:691;0
10:31:47:347;1
10:31:47:503;1
10:31:47:659;1
10:31:48:316;0
10:31:48:472;0
10:31:48:628;0
10:31:48:784;0
10:31:48:441;0
10:31:48:597;0
10:31:49:253;0
10:31:49:409;0
10:31:49:566;0
10:31:49:722;0
10:31:49:378;0
