(time1+time2)/2;stress/non-stress
11:4:22:448;0
11:4:22:605;0
11:4:23:261;0
11:4:23:417;0
11:4:23:573;0
11:4:23:730;1
11:4:23:386;1
11:4:23:542;1
11:4:24:198;0
11:4:24:355;0
11:4:24:511;0
11:4:24:667;0
11:4:24:323;0
11:4:24:480;0
11:4:24:636;0
11:4:25:292;0
11:4:25:448;0
11:4:25:605;0
11:4:25:761;0
11:4:25:417;0
11:4:25:573;0
11:4:26:230;0
11:4:26:386;0
11:4:26:542;0
11:4:26:698;0
11:4:26:355;0
11:4:26:511;0
11:4:26:667;0
11:4:27:323;0
11:4:27:480;0
11:4:27:636;0
11:4:27:792;0
11:4:27:448;0
11:4:27:605;0
11:4:28:261;0
11:4:28:417;0
11:4:28:573;0
11:4:28:730;0
11:4:28:386;0
11:4:28:542;1
11:4:29:198;1
11:4:29:355;1
11:4:29:511;1
11:4:29:667;1
11:4:29:323;1
11:4:29:480;1
11:4:29:636;0
11:4:30:292;0
11:4:30:448;0
11:4:30:605;0
11:4:30:761;0
11:4:30:417;0
11:4:30:573;0
11:4:31:230;0
11:4:31:386;0
11:4:31:542;0
11:4:31:698;0
11:4:31:355;0
11:4:31:511;0
11:4:31:667;0
11:4:32:323;0
11:4:32:480;0
11:4:32:636;0
11:4:32:792;0
11:4:32:448;0
11:4:32:605;0
11:4:33:261;0
11:4:33:417;0
11:4:33:573;0
11:4:33:730;0
11:4:33:386;0
11:4:33:542;0
11:4:34:198;0
11:4:34:355;0
11:4:34:511;0
11:4:34:667;0
11:4:34:323;0
11:4:34:480;0
11:4:34:636;0
11:4:35:292;0
11:4:35:448;0
11:4:35:605;0
11:4:35:761;0
11:4:35:417;0
11:4:35:573;0
11:4:36:230;0
11:4:36:386;1
11:4:36:542;0
11:4:36:698;0
11:4:36:355;0
11:4:36:511;0
11:4:36:667;1
11:4:37:323;1
11:4:37:480;1
11:4:37:636;1
11:4:37:792;1
11:4:37:448;1
11:4:37:605;1
11:4:38:261;1
11:4:38:417;1
11:4:38:573;0
11:4:38:730;0
11:4:38:386;0
11:4:38:542;0
11:4:39:198;0
11:4:39:355;0
11:4:39:511;0
11:4:39:667;0
11:4:39:323;0
11:4:39:480;0
11:4:39:636;0
11:4:40:292;0
11:4:40:448;0
11:4:40:605;0
11:4:40:761;0
11:4:40:417;0
11:4:40:573;0
11:4:41:230;0
11:4:41:386;0
11:4:41:542;0
11:4:41:698;0
11:4:41:355;0
11:4:41:511;0
11:4:41:667;0
11:4:42:323;0
11:4:42:480;1
11:4:42:636;1
11:4:42:792;1
11:4:42:448;1
11:4:42:605;1
11:4:43:261;1
11:4:43:417;1
11:4:43:573;1
11:4:43:730;0
11:4:43:386;0
11:4:43:542;0
11:4:44:198;0
11:4:44:355;0
11:4:44:511;0
11:4:44:667;0
11:4:44:323;0
11:4:44:480;0
11:4:44:636;1
11:4:45:292;1
11:4:45:448;1
11:4:45:605;1
11:4:45:761;1
11:4:45:417;1
11:4:45:573;1
11:4:46:230;0
11:4:46:386;0
11:4:46:542;0
11:4:46:698;0
11:4:46:355;0
11:4:46:511;0
11:4:46:667;0
11:4:47:323;0
11:4:47:480;0
11:4:47:636;0
11:4:47:792;0
11:4:47:448;0
11:4:47:605;0
11:4:48:261;0
11:4:48:417;0
11:4:48:573;0
11:4:48:730;0
11:4:48:386;0
11:4:48:542;0
11:4:49:198;0
11:4:49:355;0
11:4:49:511;0
11:4:49:667;0
11:4:49:323;0
11:4:49:480;0
11:4:49:636;0
11:4:50:292;0
11:4:50:448;0
11:4:50:605;0
11:4:50:761;0
11:4:50:417;0
11:4:50:573;0
11:4:51:230;0
11:4:51:386;0
11:4:51:542;0
11:4:51:698;0
11:4:51:355;0
11:4:51:511;0
11:4:51:667;0
11:4:52:323;0
11:4:52:480;0
11:4:52:636;0
11:4:52:792;0
11:4:52:448;0
11:4:52:605;0
11:4:53:261;0
11:4:53:417;0
11:4:53:573;0
11:4:53:730;0
11:4:53:386;0
11:4:53:542;0
11:4:54:198;0
11:4:54:355;0
11:4:54:511;0
11:4:54:667;0
11:4:54:323;0
11:4:54:480;0
11:4:54:636;0
11:4:55:292;0
11:4:55:448;0
11:4:55:605;0
11:4:55:761;0
11:4:55:417;0
11:4:55:573;1
11:4:56:230;1
11:4:56:386;1
11:4:56:542;1
11:4:56:698;0
11:4:56:355;0
11:4:56:511;0
11:4:56:667;1
11:4:57:323;1
11:4:57:480;1
11:4:57:636;1
11:4:57:792;1
11:4:27:448;1
11:4:27:605;0
11:4:28:261;0
11:4:28:417;0
11:4:28:573;0
11:4:28:730;0
11:4:28:386;0
11:4:28:542;0
11:4:29:198;0
11:4:29:355;0
11:4:29:511;0
11:4:29:667;0
11:4:29:323;0
11:4:29:480;0
11:4:29:636;0
11:4:30:292;0
11:4:30:448;0
11:4:30:605;0
11:4:30:761;0
11:4:30:417;0
11:4:30:573;0
11:4:31:230;0
11:4:31:386;0
11:4:31:542;0
11:4:31:698;0
11:4:31:355;0
11:4:31:511;0
11:4:31:667;0
11:5:2:323;0
11:5:2:480;0
11:5:2:636;0
11:5:2:792;0
11:5:2:448;0
11:5:2:605;0
11:5:3:261;0
11:5:3:417;0
11:5:3:573;0
11:5:3:730;0
11:5:3:386;0
11:5:3:542;0
11:5:4:198;1
11:5:4:355;1
11:5:4:511;1
11:5:4:667;1
11:5:4:323;1
11:5:4:480;0
11:5:4:636;0
11:5:5:292;0
11:5:5:448;0
11:5:5:605;0
11:5:5:761;0
11:5:5:417;0
11:5:5:573;0
11:5:6:230;0
11:5:6:386;0
11:5:6:542;0
11:5:6:698;0
11:5:6:355;0
11:5:6:511;0
