(time1+time2)/2;stress/non-stress
17:46:39:542;0
17:46:39:698;0
17:46:39:355;0
17:46:39:511;0
17:46:39:667;0
17:46:40:323;0
17:46:40:480;0
17:46:40:636;0
17:46:40:792;0
17:46:40:448;0
17:46:40:605;0
17:46:41:261;0
17:46:41:417;0
17:46:41:573;0
17:46:41:730;0
17:46:41:386;0
17:46:41:542;0
17:46:42:198;1
17:46:42:355;1
17:46:42:511;1
17:46:42:667;1
17:46:42:323;1
17:46:42:480;0
17:46:42:636;0
17:46:43:292;0
17:46:43:448;0
17:46:43:605;0
17:46:43:761;0
17:46:43:417;0
17:46:43:573;0
17:46:44:230;0
17:46:44:386;0
17:46:44:542;0
17:46:44:698;0
17:46:44:355;0
17:46:44:511;0
17:46:44:667;0
17:46:45:323;0
17:46:45:480;0
17:46:45:636;0
17:46:45:792;0
17:46:45:448;0
17:46:45:605;0
17:46:46:261;0
17:46:46:417;0
17:46:46:573;0
17:46:46:730;0
17:46:46:386;0
17:46:46:542;0
17:46:47:198;0
17:46:47:355;0
17:46:47:511;1
17:46:47:667;0
17:46:47:323;0
17:46:47:480;0
17:46:47:636;0
17:46:48:292;0
17:46:48:448;0
17:46:48:605;0
17:46:48:761;0
17:46:48:417;0
17:46:48:573;0
17:46:49:230;0
17:46:49:386;0
17:46:49:542;0
17:46:49:698;0
17:46:49:355;0
17:46:49:511;1
17:46:49:667;1
17:46:50:323;1
17:46:50:480;1
17:46:50:636;0
17:46:50:792;0
17:46:50:448;0
17:46:50:605;0
17:46:51:261;0
17:46:51:417;0
17:46:51:573;0
17:46:51:730;0
17:46:51:386;0
17:46:51:542;0
17:46:52:198;1
17:46:52:355;0
17:46:52:511;0
17:46:52:667;0
17:46:52:323;0
17:46:52:480;0
17:46:52:636;0
17:46:53:292;0
17:46:53:448;0
17:46:53:605;0
17:46:53:761;0
17:46:53:417;0
17:46:53:573;0
17:46:54:230;0
17:46:54:386;0
17:46:54:542;0
17:46:54:698;0
17:46:54:355;0
17:46:54:511;0
17:46:54:667;0
17:46:55:323;0
17:46:55:480;0
17:46:55:636;0
17:46:55:792;1
17:46:55:448;1
17:46:55:605;0
17:46:56:261;0
17:46:56:417;0
17:46:56:573;0
17:46:56:730;0
17:46:56:386;0
17:46:56:542;1
17:46:57:198;1
17:46:57:355;1
17:46:57:511;0
17:46:57:667;0
17:46:27:323;0
17:46:27:480;0
17:46:27:636;0
17:46:28:292;0
17:46:28:448;0
17:46:28:605;1
17:46:28:761;1
17:46:28:417;0
17:46:28:573;0
17:46:29:230;0
17:46:29:386;0
17:46:29:542;0
17:46:29:698;0
17:46:29:355;0
17:46:29:511;0
17:46:29:667;0
17:46:30:323;0
17:46:30:480;0
17:46:30:636;0
17:46:30:792;0
17:46:30:448;0
17:46:30:605;0
17:46:31:261;0
17:46:31:417;0
17:46:31:573;0
17:46:31:730;0
17:46:31:386;0
17:46:31:542;0
17:47:2:198;0
17:47:2:355;0
17:47:2:511;0
17:47:2:667;0
17:47:2:323;0
17:47:2:480;0
17:47:2:636;0
17:47:3:292;0
17:47:3:448;0
17:47:3:605;0
17:47:3:761;0
17:47:3:417;0
17:47:3:573;0
17:47:4:230;0
17:47:4:386;0
17:47:4:542;0
17:47:4:698;0
17:47:4:355;0
17:47:4:511;0
17:47:4:667;0
17:47:5:323;0
17:47:5:480;0
17:47:5:636;0
17:47:5:792;0
17:47:5:448;0
17:47:5:605;0
17:47:6:261;0
17:47:6:417;0
17:47:6:573;0
17:47:6:730;0
17:47:6:386;0
17:47:6:542;1
17:47:7:198;1
