median(time1,time2);stress/non-stress
11:29:21:187;0
11:29:21:343;0
11:29:21:500;0
11:29:21:656;0
11:29:21:812;0
11:29:21:968;0
11:29:22:125;0
11:29:22:281;0
11:29:22:437;0
11:29:22:593;1
11:29:22:750;1
11:29:22:906;1
11:29:23:062;1
11:29:23:218;1
11:29:23:375;1
11:29:23:531;1
11:29:23:687;1
11:29:23:843;1
11:29:24:000;0
11:29:24:156;0
11:29:24:312;0
11:29:24:468;0
11:29:24:625;0
11:29:24:781;1
11:29:24:937;1
11:29:25:093;1
11:29:25:250;0
11:29:25:406;0
11:29:25:562;0
11:29:25:718;0
11:29:25:875;0
11:29:26:031;0
11:29:26:187;0
11:29:26:343;0
11:29:26:500;0
11:29:26:656;0
11:29:26:812;0
11:29:26:968;0
11:29:27:125;0
11:29:27:281;0
11:29:27:437;0
11:29:27:593;0
11:29:27:750;0
11:29:27:906;1
11:29:28:062;1
11:29:28:218;1
11:29:28:375;1
11:29:28:531;0
11:29:28:687;1
11:29:28:843;0
11:29:29:000;0
11:29:29:156;0
11:29:29:312;0
11:29:29:468;0
11:29:29:625;0
11:29:29:781;0
11:29:29:937;0
11:29:30:093;0
11:29:30:250;0
11:29:30:406;0
11:29:30:562;0
11:29:30:718;0
11:29:30:875;0
11:29:31:031;0
11:29:31:187;0
11:29:31:343;0
11:29:31:500;0
11:29:31:656;0
11:29:31:812;0
11:29:31:968;0
11:29:32:125;0
11:29:32:281;0
11:29:32:437;1
11:29:32:593;1
11:29:32:750;1
11:29:32:906;0
11:29:33:062;0
11:29:33:218;0
11:29:33:375;0
11:29:33:531;0
11:29:33:687;0
11:29:33:843;0
11:29:34:000;0
11:29:34:156;0
11:29:34:312;0
11:29:34:468;0
11:29:34:625;0
11:29:34:781;1
11:29:34:937;1
11:29:35:093;1
11:29:35:250;1
11:29:35:406;1
11:29:35:562;1
11:29:35:718;1
11:29:35:875;1
11:29:36:031;1
11:29:36:187;1
11:29:36:343;0
11:29:36:500;0
11:29:36:656;0
11:29:36:812;0
11:29:36:968;0
11:29:37:125;0
11:29:37:281;0
11:29:37:437;0
11:29:37:593;0
11:29:37:750;0
11:29:37:906;0
11:29:38:062;1
11:29:38:218;0
11:29:38:375;0
11:29:38:531;0
11:29:38:687;0
11:29:38:843;0
11:29:39:000;0
11:29:39:156;0
11:29:39:312;0
11:29:39:468;0
11:29:39:625;0
11:29:39:781;0
11:29:39:937;0
11:29:40:093;0
11:29:40:250;0
11:29:40:406;0
11:29:40:562;0
11:29:40:718;0
11:29:40:875;0
11:29:41:031;0
11:29:41:187;0
11:29:41:343;0
11:29:41:500;0
11:29:41:656;0
11:29:41:812;0
11:29:41:968;0
11:29:42:125;0
11:29:42:281;0
11:29:42:437;0
11:29:42:593;0
11:29:42:750;0
11:29:42:906;0
11:29:43:062;0
11:29:43:218;0
11:29:43:375;1
11:29:43:531;1
11:29:43:687;1
11:29:43:843;1
11:29:44:000;1
11:29:44:156;1
11:29:44:312;1
11:29:44:468;0
11:29:44:625;0
11:29:44:781;0
11:29:44:937;0
11:29:45:093;0
11:29:45:250;0
11:29:45:406;0
11:29:45:562;0
11:29:45:718;0
11:29:45:875;0
11:29:46:031;0
11:29:46:187;1
11:29:46:343;1
11:29:46:500;0
11:29:46:656;0
11:29:46:812;0
11:29:46:968;0
11:29:47:125;0
11:29:47:281;0
11:29:47:437;0
11:29:47:593;0
11:29:47:750;0
11:29:47:906;0
11:29:48:062;0
11:29:48:218;0
11:29:48:375;1
11:29:48:531;1
11:29:48:687;1
11:29:48:843;0
11:29:49:000;0
11:29:49:156;0
11:29:49:312;0
11:29:49:468;0
11:29:49:625;0
11:29:49:781;0
11:29:49:937;0
11:29:50:093;0
11:29:50:250;0
11:29:50:406;0
11:29:50:562;0
11:29:50:718;0
11:29:50:875;0
11:29:51:031;1
11:29:51:187;1
11:29:51:343;1
11:29:51:500;0
11:29:51:656;0
11:29:51:812;0
11:29:51:968;0
11:29:52:125;0
11:29:52:281;0
11:29:52:437;1
11:29:52:593;1
11:29:52:750;0
11:29:52:906;0
11:29:53:062;0
11:29:53:218;0
11:29:53:375;0
11:29:53:531;0
11:29:53:687;1
11:29:53:843;1
11:29:54:000;1
11:29:54:156;0
11:29:54:312;0
11:29:54:468;0
11:29:54:625;0
11:29:54:781;0
11:29:54:937;0
11:29:55:093;0
11:29:55:250;0
11:29:55:406;0
11:29:55:562;0
11:29:55:718;0
11:29:55:875;0
11:29:56:031;0
11:29:56:187;0
11:29:56:343;0
11:29:56:500;0
11:29:56:656;0
11:29:56:812;0
11:29:56:968;0
11:29:57:125;0
11:29:57:281;0
11:29:57:437;0
11:29:57:593;0
11:29:57:750;0
11:29:57:906;0
11:29:58:062;0
11:29:58:218;0
11:29:58:375;0
11:29:58:531;0
11:29:58:687;0
11:29:58:843;0
11:29:59:000;0
11:29:59:156;0
11:29:59:312;0
11:29:59:468;0
11:29:59:625;0
11:29:59:781;0
11:29:59:937;0
11:30:00:093;0
11:30:00:250;0
11:30:00:406;0
11:30:00:562;0
11:30:00:718;0
11:30:00:875;0
11:30:01:031;0
11:30:01:187;0
11:30:01:343;0
11:30:01:500;0
11:30:01:656;0
11:30:01:812;1
11:30:01:968;0
11:30:02:125;0
11:30:02:281;0
11:30:02:437;0
11:30:02:593;0
11:30:02:750;0
11:30:02:906;0
11:30:03:062;0
11:30:03:218;0
11:30:03:375;1
11:30:03:531;1
11:30:03:687;1
11:30:03:843;1
11:30:04:000;1
11:30:04:156;0
11:30:04:312;0
11:30:04:468;0
11:30:04:625;0
11:30:04:781;0
11:30:04:937;0
11:30:05:093;0
11:30:05:250;0
11:30:05:406;0
11:30:05:562;0
11:30:05:718;0
11:30:05:875;0
11:30:06:031;0
11:30:06:187;0
11:30:06:343;0
11:30:06:500;0
11:30:06:656;0
11:30:06:812;0
11:30:06:968;0
11:30:07:125;0
11:30:07:281;0
11:30:07:437;0
11:30:07:593;0
11:30:07:750;0
11:30:07:906;0
11:30:08:062;0
11:30:08:218;0
11:30:08:375;0
11:30:08:531;0
11:30:08:687;0
11:30:08:843;0
11:30:09:000;0
11:30:09:156;0
11:30:09:312;0
11:30:09:468;0
11:30:09:625;0
11:30:09:781;0
11:30:09:937;0
11:30:10:093;0
11:30:10:250;0
11:30:10:406;0
11:30:10:562;0
11:30:10:718;0
11:30:10:875;0
11:30:11:031;0
11:30:11:187;1
11:30:11:343;1
11:30:11:500;1
11:30:11:656;1
11:30:11:812;1
11:30:11:968;0
11:30:12:125;0
11:30:12:281;0
11:30:12:437;0
11:30:12:593;0
11:30:12:750;0
11:30:12:906;0
11:30:13:062;0
11:30:13:218;0
11:30:13:375;0
11:30:13:531;1
11:30:13:687;1
11:30:13:843;1
11:30:14:000;1
11:30:14:156;1
11:30:14:312;1
11:30:14:468;1
11:30:14:625;1
11:30:14:781;0
11:30:14:937;0
11:30:15:093;0
11:30:15:250;0
11:30:15:406;0
11:30:15:562;0
11:30:15:718;0
11:30:15:875;0
11:30:16:031;0
11:30:16:187;0
11:30:16:343;0
11:30:16:500;0
11:30:16:656;0
11:30:16:812;0
11:30:16:968;0
11:30:17:125;0
11:30:17:281;0
11:30:17:437;0
11:30:17:593;0
11:30:17:750;0
11:30:17:906;0
11:30:18:062;0
11:30:18:218;0
11:30:18:375;0
11:30:18:531;0
11:30:18:687;0
11:30:18:843;0
11:30:19:000;0
11:30:19:156;0
11:30:19:312;0
11:30:19:468;0
11:30:19:625;0
11:30:19:781;0
11:30:19:937;0
11:30:20:093;0
11:30:20:250;0
11:30:20:406;0
11:30:20:562;0
11:30:20:718;0
11:30:20:875;0
11:30:21:031;0
11:30:21:187;0
11:30:21:343;0
11:30:21:500;0
11:30:21:656;0
11:30:21:812;0
11:30:21:968;0
11:30:22:125;1
11:30:22:281;1
11:30:22:437;0
11:30:22:593;0
11:30:22:750;0
11:30:22:906;0
11:30:23:062;0
11:30:23:218;0
11:30:23:375;0
11:30:23:531;0
11:30:23:687;0
11:30:23:843;0
11:30:24:000;0
11:30:24:156;0
11:30:24:312;0
11:30:24:468;0
11:30:24:625;0
11:30:24:781;0
11:30:24:937;0
11:30:25:093;0
11:30:25:250;0
11:30:25:406;0
11:30:25:562;0
11:30:25:718;0
11:30:25:875;0
11:30:26:031;0
11:30:26:187;0
11:30:26:343;0
11:30:26:500;0
11:30:26:656;1
11:30:26:812;1
11:30:26:968;1
11:30:27:125;1
11:30:27:281;1
11:30:27:437;1
11:30:27:593;0
11:30:27:750;0
11:30:27:906;0
11:30:28:062;0
11:30:28:218;0
11:30:28:375;1
11:30:28:531;1
11:30:28:687;1
11:30:28:843;1
11:30:29:000;0
11:30:29:156;0
11:30:29:312;0
11:30:29:468;0
11:30:29:625;0
11:30:29:781;0
11:30:29:937;0
11:30:30:093;0
11:30:30:250;0
11:30:30:406;0
11:30:30:562;0
11:30:30:718;0
11:30:30:875;0
11:30:31:031;0
11:30:31:187;0
11:30:31:343;0
11:30:31:500;0
11:30:31:656;0
11:30:31:812;0
11:30:31:968;0
11:30:32:125;0
11:30:32:281;0
11:30:32:437;0
11:30:32:593;0
11:30:32:750;0
11:30:32:906;0
11:30:33:062;0
11:30:33:218;0
11:30:33:375;0
11:30:33:531;0
11:30:33:687;0
11:30:33:843;0
11:30:34:000;0
11:30:34:156;0
11:30:34:312;1
11:30:34:468;0
11:30:34:625;1
11:30:34:781;1
11:30:34:937;1
11:30:35:093;1
11:30:35:250;1
11:30:35:406;0
11:30:35:562;0
11:30:35:718;0
11:30:35:875;0
11:30:36:031;0
11:30:36:187;0
11:30:36:343;0
11:30:36:500;1
11:30:36:656;1
11:30:36:812;0
11:30:36:968;0
11:30:37:125;0
11:30:37:281;0
11:30:37:437;0
11:30:37:593;0
11:30:37:750;0
11:30:37:906;0
11:30:38:062;0
11:30:38:218;0
11:30:38:375;0
11:30:38:531;0
11:30:38:687;0
11:30:38:843;1
11:30:39:000;1
11:30:39:156;1
11:30:39:312;1
11:30:39:468;1
11:30:39:625;1
11:30:39:781;1
11:30:39:937;0
11:30:40:093;0
11:30:40:250;0
11:30:40:406;0
11:30:40:562;0
11:30:40:718;0
11:30:40:875;0
11:30:41:031;0
11:30:41:187;0
11:30:41:343;0
11:30:41:500;0
11:30:41:656;0
11:30:41:812;0
11:30:41:968;0
11:30:42:125;0
11:30:42:281;0
11:30:42:437;0
11:30:42:593;0
11:30:42:750;0
11:30:42:906;0
11:30:43:062;0
11:30:43:218;0
11:30:43:375;0
11:30:43:531;0
11:30:43:687;0
11:30:43:843;0
11:30:44:000;0
11:30:44:156;0
11:30:44:312;0
11:30:44:468;0
11:30:44:625;0
11:30:44:781;0
11:30:44:937;0
11:30:45:093;0
11:30:45:250;0
11:30:45:406;0
11:30:45:562;0
11:30:45:718;0
11:30:45:875;0
11:30:46:031;0
11:30:46:187;0
11:30:46:343;0
11:30:46:500;0
11:30:46:656;0
11:30:46:812;0
11:30:46:968;0
11:30:47:125;0
11:30:47:281;0
11:30:47:437;0
11:30:47:593;0
11:30:47:750;0
11:30:47:906;0
11:30:48:062;0
11:30:48:218;0
11:30:48:375;0
11:30:48:531;0
11:30:48:687;0
11:30:48:843;0
11:30:49:000;0
11:30:49:156;0
11:30:49:312;0
