(time1+time2)/2;stress/non-stress
11:29:21:191;0
11:29:21:347;0
11:29:21:503;0
11:29:21:659;0
11:29:21:316;0
11:29:21:472;0
11:29:21:628;0
11:29:22:284;0
11:29:22:441;0
11:29:22:597;1
11:29:22:753;1
11:29:22:409;1
11:29:22:566;1
11:29:23:222;1
11:29:23:378;1
11:29:23:534;1
11:29:23:691;1
11:29:23:347;1
11:29:23:503;0
11:29:23:659;0
11:29:24:316;0
11:29:24:472;0
11:29:24:628;0
11:29:24:784;1
11:29:24:441;1
11:29:24:597;1
11:29:25:253;0
11:29:25:409;0
11:29:25:566;0
11:29:25:722;0
11:29:25:378;0
11:29:25:534;0
11:29:26:191;0
11:29:26:347;0
11:29:26:503;0
11:29:26:659;0
11:29:26:316;0
11:29:26:472;0
11:29:26:628;0
11:29:27:284;0
11:29:27:441;0
11:29:27:597;0
11:29:27:753;0
11:29:27:409;1
11:29:27:566;1
11:29:28:222;1
11:29:28:378;1
11:29:28:534;0
11:29:28:691;1
11:29:28:347;0
11:29:28:503;0
11:29:28:659;0
11:29:29:316;0
11:29:29:472;0
11:29:29:628;0
11:29:29:784;0
11:29:29:441;0
11:29:29:597;0
11:29:30:253;0
11:29:30:409;0
11:29:30:566;0
11:29:30:722;0
11:29:30:378;0
11:29:30:534;0
11:29:31:191;0
11:29:31:347;0
11:29:31:503;0
11:29:31:659;0
11:29:31:316;0
11:29:31:472;0
11:29:31:628;0
11:29:32:284;0
11:29:32:441;1
11:29:32:597;1
11:29:32:753;1
11:29:32:409;0
11:29:32:566;0
11:29:33:222;0
11:29:33:378;0
11:29:33:534;0
11:29:33:691;0
11:29:33:347;0
11:29:33:503;0
11:29:33:659;0
11:29:34:316;0
11:29:34:472;0
11:29:34:628;0
11:29:34:784;1
11:29:34:441;1
11:29:34:597;1
11:29:35:253;1
11:29:35:409;1
11:29:35:566;1
11:29:35:722;1
11:29:35:378;1
11:29:35:534;1
11:29:36:191;1
11:29:36:347;0
11:29:36:503;0
11:29:36:659;0
11:29:36:316;0
11:29:36:472;0
11:29:36:628;0
11:29:37:284;0
11:29:37:441;0
11:29:37:597;0
11:29:37:753;0
11:29:37:409;0
11:29:37:566;1
11:29:38:222;0
11:29:38:378;0
11:29:38:534;0
11:29:38:691;0
11:29:38:347;0
11:29:38:503;0
11:29:38:659;0
11:29:39:316;0
11:29:39:472;0
11:29:39:628;0
11:29:39:784;0
11:29:39:441;0
11:29:39:597;0
11:29:40:253;0
11:29:40:409;0
11:29:40:566;0
11:29:40:722;0
11:29:40:378;0
11:29:40:534;0
11:29:41:191;0
11:29:41:347;0
11:29:41:503;0
11:29:41:659;0
11:29:41:316;0
11:29:41:472;0
11:29:41:628;0
11:29:42:284;0
11:29:42:441;0
11:29:42:597;0
11:29:42:753;0
11:29:42:409;0
11:29:42:566;0
11:29:43:222;0
11:29:43:378;1
11:29:43:534;1
11:29:43:691;1
11:29:43:347;1
11:29:43:503;1
11:29:43:659;1
11:29:44:316;1
11:29:44:472;0
11:29:44:628;0
11:29:44:784;0
11:29:44:441;0
11:29:44:597;0
11:29:45:253;0
11:29:45:409;0
11:29:45:566;0
11:29:45:722;0
11:29:45:378;0
11:29:45:534;0
11:29:46:191;1
11:29:46:347;1
11:29:46:503;0
11:29:46:659;0
11:29:46:316;0
11:29:46:472;0
11:29:46:628;0
11:29:47:284;0
11:29:47:441;0
11:29:47:597;0
11:29:47:753;0
11:29:47:409;0
11:29:47:566;0
11:29:48:222;0
11:29:48:378;1
11:29:48:534;1
11:29:48:691;1
11:29:48:347;0
11:29:48:503;0
11:29:48:659;0
11:29:49:316;0
11:29:49:472;0
11:29:49:628;0
11:29:49:784;0
11:29:49:441;0
11:29:49:597;0
11:29:50:253;0
11:29:50:409;0
11:29:50:566;0
11:29:50:722;0
11:29:50:378;0
11:29:50:534;1
11:29:51:191;1
11:29:51:347;1
11:29:51:503;0
11:29:51:659;0
11:29:51:316;0
11:29:51:472;0
11:29:51:628;0
11:29:52:284;0
11:29:52:441;1
11:29:52:597;1
11:29:52:753;0
11:29:52:409;0
11:29:52:566;0
11:29:53:222;0
11:29:53:378;0
11:29:53:534;0
11:29:53:691;1
11:29:53:347;1
11:29:53:503;1
11:29:53:659;0
11:29:54:316;0
11:29:54:472;0
