(time1+time2)/2;stress/non-stress
14:19:12:526;0
14:19:12:683;0
14:19:12:339;0
14:19:12:495;0
14:19:12:651;0
14:19:13:308;0
14:19:13:464;0
14:19:13:620;0
14:19:13:776;0
14:19:13:433;0
14:19:13:589;0
14:19:14:245;0
14:19:14:401;0
14:19:14:558;0
14:19:14:714;0
14:19:14:370;0
14:19:14:526;0
14:19:15:183;0
14:19:15:339;0
14:19:15:495;0
14:19:15:651;0
14:19:15:808;0
14:19:15:464;0
14:19:15:620;0
14:19:16:276;0
14:19:16:433;0
14:19:16:589;0
14:19:16:745;0
14:19:16:401;0
14:19:16:558;0
14:19:17:214;0
14:19:17:370;0
14:19:17:526;0
14:19:17:683;0
14:19:17:339;0
14:19:17:495;0
14:19:17:651;0
14:19:18:308;0
14:19:18:464;0
14:19:18:620;0
14:19:18:776;0
14:19:18:433;0
14:19:18:589;0
14:19:19:245;0
14:19:19:401;0
14:19:19:558;0
14:19:19:714;0
14:19:19:370;0
14:19:19:526;0
14:19:20:183;0
14:19:20:339;0
14:19:20:495;0
14:19:20:651;0
14:19:20:808;0
14:19:20:464;0
14:19:20:620;0
14:19:21:276;0
14:19:21:433;0
14:19:21:589;0
14:19:21:745;0
14:19:21:401;0
14:19:21:558;0
14:19:22:214;0
14:19:22:370;0
14:19:22:526;0
14:19:22:683;0
14:19:22:339;0
14:19:22:495;0
14:19:22:651;0
14:19:23:308;0
14:19:23:464;0
14:19:23:620;0
14:19:23:776;0
14:19:23:433;0
14:19:23:589;0
14:19:24:245;0
14:19:24:401;0
14:19:24:558;0
14:19:24:714;0
14:19:24:370;0
14:19:24:526;0
14:19:25:183;0
14:19:25:339;0
14:19:25:495;0
14:19:25:651;0
14:19:25:808;0
14:19:25:464;0
14:19:25:620;0
14:19:26:276;0
14:19:26:433;0
14:19:26:589;0
14:19:26:745;0
14:19:26:401;0
14:19:26:558;0
14:19:27:214;0
14:19:27:370;0
14:19:27:526;0
14:19:27:683;0
14:19:27:339;0
14:19:27:495;0
14:19:27:651;0
14:19:28:308;0
14:19:28:464;0
14:19:28:620;0
14:19:28:776;0
14:19:28:433;0
14:19:28:589;0
14:19:29:245;0
14:19:29:401;0
14:19:29:558;0
14:19:29:714;0
14:19:29:370;0
14:19:29:526;0
14:19:30:183;0
14:19:30:339;0
14:19:30:495;0
14:19:30:651;0
14:19:30:808;0
14:19:30:464;0
14:19:30:620;0
14:19:31:276;0
14:19:31:433;0
14:19:31:589;0
14:19:31:745;0
14:19:31:401;0
14:19:31:558;0
14:19:32:214;0
14:19:32:370;0
14:19:32:526;0
14:19:32:683;0
14:19:32:339;0
14:19:32:495;0
14:19:32:651;0
14:19:33:308;0
14:19:33:464;0
14:19:33:620;0
14:19:33:776;0
14:19:33:433;0
14:19:33:589;0
14:19:34:245;0
14:19:34:401;0
14:19:34:558;0
14:19:34:714;0
14:19:34:370;0
14:19:34:526;0
14:19:35:183;0
14:19:35:339;0
14:19:35:495;0
14:19:35:651;0
14:19:35:808;0
14:19:35:464;0
14:19:35:620;0
14:19:36:276;0
14:19:36:433;0
14:19:36:589;0
14:19:36:745;0
14:19:36:401;1
14:19:36:558;1
14:19:37:214;1
14:19:37:370;1
14:19:37:526;1
14:19:37:683;0
14:19:37:339;0
14:19:37:495;0
14:19:37:651;0
14:19:38:308;0
14:19:38:464;0
14:19:38:620;0
14:19:38:776;0
14:19:38:433;0
14:19:38:589;0
14:19:39:245;0
14:19:39:401;0
14:19:39:558;0
14:19:39:714;0
14:19:39:370;0
14:19:39:526;0
14:19:40:183;0
14:19:40:339;0
14:19:40:495;0
14:19:40:651;0
14:19:40:808;0
14:19:40:464;0
14:19:40:620;0
