median(time1,time2);stress/non-stress
09:25:28:164;1
09:25:28:320;1
09:25:28:476;0
09:25:28:632;0
09:25:28:789;0
09:25:28:945;0
09:25:29:101;0
09:25:29:257;0
09:25:29:414;0
09:25:29:570;0
09:25:29:726;0
09:25:29:882;0
09:25:30:039;0
09:25:30:195;0
09:25:30:351;0
09:25:30:507;0
09:25:30:664;0
09:25:30:820;0
09:25:30:976;0
09:25:31:132;0
09:25:31:289;0
09:25:31:445;0
09:25:31:601;0
09:25:31:757;0
09:25:31:914;0
09:25:32:070;0
09:25:32:226;0
09:25:32:382;0
09:25:32:539;0
09:25:32:695;0
09:25:32:851;0
09:25:33:007;0
09:25:33:164;0
09:25:33:320;0
09:25:33:476;0
09:25:33:632;0
09:25:33:789;0
09:25:33:945;0
09:25:34:101;0
09:25:34:257;0
09:25:34:414;0
09:25:34:570;0
09:25:34:726;0
09:25:34:882;0
09:25:35:039;0
09:25:35:195;0
09:25:35:351;0
09:25:35:507;0
09:25:35:664;0
09:25:35:820;0
09:25:35:976;0
09:25:36:132;0
09:25:36:289;0
09:25:36:445;0
09:25:36:601;0
09:25:36:757;0
09:25:36:914;0
09:25:37:070;0
09:25:37:226;0
09:25:37:382;0
09:25:37:539;0
09:25:37:695;0
09:25:37:851;0
09:25:38:007;0
09:25:38:164;0
09:25:38:320;0
09:25:38:476;1
09:25:38:632;1
09:25:38:789;1
09:25:38:945;1
09:25:39:101;1
09:25:39:257;0
09:25:39:414;0
09:25:39:570;0
09:25:39:726;0
09:25:39:882;0
09:25:40:039;0
09:25:40:195;0
09:25:40:351;0
09:25:40:507;0
09:25:40:664;0
09:25:40:820;0
09:25:40:976;0
09:25:41:132;0
09:25:41:289;0
09:25:41:445;0
09:25:41:601;0
09:25:41:757;0
09:25:41:914;0
09:25:42:070;0
09:25:42:226;0
09:25:42:382;0
09:25:42:539;0
09:25:42:695;0
09:25:42:851;0
09:25:43:007;0
09:25:43:164;0
09:25:43:320;0
09:25:43:476;0
09:25:43:632;0
09:25:43:789;0
09:25:43:945;0
09:25:44:101;0
09:25:44:257;0
09:25:44:414;0
09:25:44:570;0
09:25:44:726;0
09:25:44:882;0
09:25:45:039;0
09:25:45:195;0
09:25:45:351;0
09:25:45:507;0
09:25:45:664;0
09:25:45:820;0
09:25:45:976;0
09:25:46:132;0
09:25:46:289;0
09:25:46:445;0
09:25:46:601;0
09:25:46:757;0
09:25:46:914;0
09:25:47:070;0
09:25:47:226;0
09:25:47:382;0
09:25:47:539;0
09:25:47:695;0
09:25:47:851;0
09:25:48:007;0
09:25:48:164;0
09:25:48:320;0
09:25:48:476;0
09:25:48:632;0
09:25:48:789;0
09:25:48:945;0
09:25:49:101;0
09:25:49:257;0
09:25:49:414;0
09:25:49:570;0
09:25:49:726;0
09:25:49:882;0
09:25:50:039;0
09:25:50:195;0
09:25:50:351;0
09:25:50:507;0
09:25:50:664;0
09:25:50:820;0
09:25:50:976;0
09:25:51:132;1
09:25:51:289;0
09:25:51:445;0
09:25:51:601;0
09:25:51:757;0
09:25:51:914;0
09:25:52:070;0
09:25:52:226;0
09:25:52:382;0
09:25:52:539;0
09:25:52:695;0
09:25:52:851;0
09:25:53:007;1
09:25:53:164;1
09:25:53:320;1
09:25:53:476;1
09:25:53:632;1
09:25:53:789;1
09:25:53:945;1
09:25:54:101;1
09:25:54:257;1
09:25:54:414;1
09:25:54:570;1
09:25:54:726;1
09:25:54:882;0
09:25:55:039;0
09:25:55:195;0
09:25:55:351;0
09:25:55:507;0
09:25:55:664;0
09:25:55:820;0
09:25:55:976;0
09:25:56:132;0
09:25:56:289;0
09:25:56:445;0
09:25:56:601;0
09:25:56:757;0
09:25:56:914;0
09:25:57:070;0
09:25:57:226;0
09:25:57:382;0
09:25:57:539;0
09:25:57:695;0
09:25:57:851;0
09:25:58:007;0
09:25:58:164;0
09:25:58:320;0
09:25:58:476;0
09:25:58:632;0
09:25:58:789;0
09:25:58:945;0
09:25:59:101;0
09:25:59:257;1
09:25:59:414;1
09:25:59:570;1
09:25:59:726;1
09:25:59:882;1
09:26:00:039;1
09:26:00:195;1
09:26:00:351;0
09:26:00:507;0
09:26:00:664;0
09:26:00:820;0
09:26:00:976;0
09:26:01:132;0
09:26:01:289;0
09:26:01:445;0
09:26:01:601;0
09:26:01:757;0
09:26:01:914;0
09:26:02:070;0
09:26:02:226;0
09:26:02:382;0
09:26:02:539;0
09:26:02:695;0
09:26:02:851;0
09:26:03:007;0
09:26:03:164;0
09:26:03:320;0
09:26:03:476;0
09:26:03:632;0
09:26:03:789;0
09:26:03:945;0
09:26:04:101;0
09:26:04:257;0
09:26:04:414;0
09:26:04:570;0
09:26:04:726;0
09:26:04:882;0
09:26:05:039;0
09:26:05:195;0
09:26:05:351;0
09:26:05:507;0
09:26:05:664;0
09:26:05:820;0
09:26:05:976;0
09:26:06:132;0
09:26:06:289;0
09:26:06:445;0
09:26:06:601;0
09:26:06:757;0
09:26:06:914;0
09:26:07:070;0
09:26:07:226;0
09:26:07:382;1
09:26:07:539;0
09:26:07:695;0
09:26:07:851;0
09:26:08:007;0
09:26:08:164;0
09:26:08:320;0
09:26:08:476;0
09:26:08:632;0
09:26:08:789;0
09:26:08:945;0
09:26:09:101;0
09:26:09:257;0
09:26:09:414;0
09:26:09:570;0
09:26:09:726;0
09:26:09:882;0
09:26:10:039;0
09:26:10:195;0
09:26:10:351;0
09:26:10:507;0
09:26:10:664;0
09:26:10:820;0
09:26:10:976;0
09:26:11:132;0
09:26:11:289;0
09:26:11:445;0
09:26:11:601;0
09:26:11:757;0
09:26:11:914;0
09:26:12:070;0
09:26:12:226;0
09:26:12:382;0
09:26:12:539;0
09:26:12:695;0
09:26:12:851;0
09:26:13:007;0
09:26:13:164;0
09:26:13:320;0
09:26:13:476;0
09:26:13:632;0
09:26:13:789;0
09:26:13:945;0
09:26:14:101;0
09:26:14:257;0
09:26:14:414;0
09:26:14:570;0
09:26:14:726;0
09:26:14:882;0
09:26:15:039;0
09:26:15:195;1
09:26:15:351;1
09:26:15:507;1
09:26:15:664;1
09:26:15:820;1
09:26:15:976;1
09:26:16:132;1
09:26:16:289;1
09:26:16:445;1
09:26:16:601;1
09:26:16:757;0
09:26:16:914;0
09:26:17:070;0
09:26:17:226;0
09:26:17:382;0
09:26:17:539;0
09:26:17:695;0
09:26:17:851;0
09:26:18:007;0
09:26:18:164;0
09:26:18:320;0
09:26:18:476;0
09:26:18:632;0
09:26:18:789;0
09:26:18:945;0
09:26:19:101;0
09:26:19:257;0
09:26:19:414;0
09:26:19:570;0
09:26:19:726;0
09:26:19:882;0
09:26:20:039;0
09:26:20:195;0
09:26:20:351;0
09:26:20:507;0
09:26:20:664;0
09:26:20:820;0
09:26:20:976;0
09:26:21:132;0
09:26:21:289;0
09:26:21:445;0
09:26:21:601;0
09:26:21:757;0
09:26:21:914;0
09:26:22:070;0
09:26:22:226;0
09:26:22:382;0
09:26:22:539;0
09:26:22:695;0
09:26:22:851;0
09:26:23:007;0
09:26:23:164;0
09:26:23:320;0
09:26:23:476;0
09:26:23:632;0
09:26:23:789;0
09:26:23:945;0
09:26:24:101;0
09:26:24:257;0
09:26:24:414;0
09:26:24:570;0
09:26:24:726;0
09:26:24:882;0
09:26:25:039;0
09:26:25:195;0
09:26:25:351;0
09:26:25:507;0
09:26:25:664;0
09:26:25:820;0
09:26:25:976;0
09:26:26:132;0
09:26:26:289;0
09:26:26:445;0
09:26:26:601;0
09:26:26:757;0
09:26:26:914;0
09:26:27:070;0
09:26:27:226;0
09:26:27:382;0
09:26:27:539;0
09:26:27:695;0
09:26:27:851;0
09:26:28:007;0
09:26:28:164;0
09:26:28:320;0
09:26:28:476;0
09:26:28:632;1
09:26:28:789;1
09:26:28:945;1
09:26:29:101;1
09:26:29:257;1
09:26:29:414;1
09:26:29:570;1
09:26:29:726;1
09:26:29:882;1
09:26:30:039;1
09:26:30:195;1
09:26:30:351;1
09:26:30:507;1
09:26:30:664;1
09:26:30:820;0
09:26:30:976;0
09:26:31:132;0
09:26:31:289;0
09:26:31:445;0
09:26:31:601;0
09:26:31:757;0
09:26:31:914;0
09:26:32:070;0
09:26:32:226;0
09:26:32:382;0
09:26:32:539;0
09:26:32:695;0
09:26:32:851;0
09:26:33:007;0
09:26:33:164;0
09:26:33:320;0
09:26:33:476;0
09:26:33:632;0
09:26:33:789;0
09:26:33:945;0
09:26:34:101;0
09:26:34:257;0
09:26:34:414;0
09:26:34:570;0
09:26:34:726;0
09:26:34:882;0
09:26:35:039;0
09:26:35:195;0
09:26:35:351;0
09:26:35:507;0
09:26:35:664;0
09:26:35:820;0
09:26:35:976;0
09:26:36:132;0
09:26:36:289;1
09:26:36:445;1
09:26:36:601;1
09:26:36:757;1
09:26:36:914;1
09:26:37:070;1
09:26:37:226;1
09:26:37:382;1
09:26:37:539;0
09:26:37:695;0
09:26:37:851;0
09:26:38:007;1
09:26:38:164;1
09:26:38:320;1
09:26:38:476;1
09:26:38:632;1
09:26:38:789;1
09:26:38:945;1
09:26:39:101;0
09:26:39:257;0
09:26:39:414;0
09:26:39:570;0
09:26:39:726;0
09:26:39:882;0
09:26:40:039;0
09:26:40:195;0
09:26:40:351;0
09:26:40:507;0
09:26:40:664;0
09:26:40:820;0
09:26:40:976;0
09:26:41:132;0
09:26:41:289;0
09:26:41:445;0
09:26:41:601;0
09:26:41:757;0
09:26:41:914;0
09:26:42:070;0
09:26:42:226;0
09:26:42:382;0
09:26:42:539;0
09:26:42:695;0
09:26:42:851;0
09:26:43:007;0
09:26:43:164;0
09:26:43:320;0
09:26:43:476;0
09:26:43:632;0
09:26:43:789;0
09:26:43:945;0
09:26:44:101;0
09:26:44:257;0
09:26:44:414;0
09:26:44:570;0
09:26:44:726;0
