(time1+time2)/2;stress/non-stress
10:11:28:417;0
10:11:28:573;0
10:11:29:230;0
10:11:29:386;0
10:11:29:542;0
10:11:29:698;0
10:11:29:355;0
10:11:29:511;0
10:11:29:667;0
10:11:30:323;0
10:11:30:480;0
10:11:30:636;0
10:11:30:792;0
10:11:30:448;0
10:11:30:605;0
10:11:31:261;0
10:11:31:417;0
10:11:31:573;0
10:11:31:730;0
10:11:31:386;0
10:11:31:542;0
10:12:2:198;0
10:12:2:355;0
10:12:2:511;0
10:12:2:667;0
10:12:2:323;0
10:12:2:480;0
10:12:2:636;0
10:12:3:292;1
10:12:3:448;1
10:12:3:605;1
10:12:3:761;1
10:12:3:417;1
10:12:3:573;0
10:12:4:230;0
10:12:4:386;0
10:12:4:542;0
10:12:4:698;0
10:12:4:355;0
10:12:4:511;0
10:12:4:667;0
10:12:5:323;0
10:12:5:480;0
10:12:5:636;0
10:12:5:792;0
10:12:5:448;0
10:12:5:605;0
10:12:6:261;0
10:12:6:417;0
10:12:6:573;0
10:12:6:730;0
10:12:6:386;0
10:12:6:542;0
10:12:7:198;0
10:12:7:355;0
10:12:7:511;0
10:12:7:667;0
10:12:7:323;0
10:12:7:480;0
10:12:7:636;0
10:12:8:292;0
10:12:8:448;0
10:12:8:605;0
10:12:8:761;0
10:12:8:417;0
10:12:8:573;0
10:12:9:230;0
10:12:9:386;0
10:12:9:542;0
10:12:9:698;0
10:12:9:355;0
10:12:9:511;0
10:12:9:667;0
10:12:10:323;0
10:12:10:480;0
10:12:10:636;0
10:12:10:792;0
10:12:10:448;0
10:12:10:605;0
10:12:11:261;0
10:12:11:417;0
10:12:11:573;0
10:12:11:730;0
10:12:11:386;0
10:12:11:542;0
10:12:12:198;0
10:12:12:355;0
10:12:12:511;0
10:12:12:667;0
10:12:12:323;0
10:12:12:480;0
10:12:12:636;0
10:12:13:292;0
10:12:13:448;0
10:12:13:605;0
10:12:13:761;0
10:12:13:417;0
10:12:13:573;1
10:12:14:230;1
10:12:14:386;1
10:12:14:542;1
10:12:14:698;1
10:12:14:355;0
10:12:14:511;0
10:12:14:667;0
10:12:15:323;0
10:12:15:480;0
10:12:15:636;0
10:12:15:792;0
10:12:15:448;1
10:12:15:605;1
10:12:16:261;1
10:12:16:417;0
10:12:16:573;0
10:12:16:730;0
10:12:16:386;0
10:12:16:542;0
10:12:17:198;0
10:12:17:355;0
10:12:17:511;0
10:12:17:667;0
10:12:17:323;0
10:12:17:480;0
10:12:17:636;0
10:12:18:292;0
10:12:18:448;0
10:12:18:605;0
10:12:18:761;0
10:12:18:417;0
10:12:18:573;0
10:12:19:230;0
10:12:19:386;0
10:12:19:542;0
10:12:19:698;0
10:12:19:355;0
10:12:19:511;0
10:12:19:667;0
10:12:20:323;0
10:12:20:480;0
10:12:20:636;1
10:12:20:792;1
10:12:20:448;1
10:12:20:605;1
10:12:21:261;1
10:12:21:417;1
10:12:21:573;1
10:12:21:730;1
10:12:21:386;0
10:12:21:542;0
10:12:22:198;0
10:12:22:355;0
10:12:22:511;0
10:12:22:667;0
10:12:22:323;0
10:12:22:480;1
10:12:22:636;1
10:12:23:292;1
10:12:23:448;1
10:12:23:605;0
10:12:23:761;0
10:12:23:417;0
10:12:23:573;0
10:12:24:230;0
10:12:24:386;0
10:12:24:542;0
10:12:24:698;0
10:12:24:355;0
10:12:24:511;0
10:12:24:667;0
10:12:25:323;0
10:12:25:480;0
10:12:25:636;0
10:12:25:792;0
10:12:25:448;0
10:12:25:605;0
10:12:26:261;0
10:12:26:417;0
10:12:26:573;0
10:12:26:730;0
10:12:26:386;0
10:12:26:542;0
10:12:27:198;0
10:12:27:355;0
10:12:27:511;1
10:12:27:667;1
10:12:27:323;1
10:12:27:480;1
10:12:27:636;1
10:12:28:292;1
10:12:28:448;1
10:12:28:605;1
10:12:28:761;1
10:12:28:417;1
10:12:28:573;1
10:12:29:230;1
10:12:29:386;0
10:12:29:542;0
10:12:29:698;0
10:12:29:355;0
10:12:29:511;0
10:12:29:667;0
10:12:30:323;0
10:12:30:480;0
