11:54:03:335;11:54:03:284;404.0401
11:54:03:343;11:54:03:284;404.0401
11:54:03:351;11:54:03:284;404.0401
11:54:03:359;11:54:03:284;404.0401
11:54:03:367;11:54:03:284;404.0401
11:54:03:375;11:54:03:284;404.0401
11:54:03:382;11:54:03:284;404.0401
11:54:03:390;11:54:03:284;404.0401
11:54:03:398;11:54:03:284;404.0401
11:54:03:406;11:54:03:284;404.0401
11:54:03:414;11:54:03:284;404.0401
11:54:03:421;11:54:03:284;404.0401
11:54:03:429;11:54:03:284;404.0401
11:54:03:437;11:54:03:284;404.0401
11:54:03:445;11:54:03:284;404.0401
11:54:03:453;11:54:03:453;374.8411
11:54:03:460;11:54:03:453;374.8411
11:54:03:468;11:54:03:453;374.8411
11:54:03:476;11:54:03:453;374.8411
11:54:03:484;11:54:03:453;374.8411
11:54:03:492;11:54:03:453;374.8411
11:54:03:500;11:54:03:453;374.8411
11:54:03:507;11:54:03:453;374.8411
11:54:03:515;11:54:03:453;374.8411
11:54:03:523;11:54:03:453;374.8411
11:54:03:531;11:54:03:453;374.8411
11:54:03:539;11:54:03:453;374.8411
11:54:03:546;11:54:03:453;374.8411
11:54:03:554;11:54:03:453;374.8411
11:54:03:562;11:54:03:555;385.34473
11:54:03:570;11:54:03:555;385.34473
11:54:03:578;11:54:03:555;385.34473
11:54:03:585;11:54:03:555;385.34473
11:54:03:593;11:54:03:555;385.34473
11:54:03:601;11:54:03:555;385.34473
11:54:03:609;11:54:03:555;385.34473
11:54:03:617;11:54:03:555;385.34473
11:54:03:625;11:54:03:555;385.34473
11:54:03:632;11:54:03:555;385.34473
11:54:03:640;11:54:03:555;385.34473
11:54:03:648;11:54:03:555;385.34473
11:54:03:656;11:54:03:555;385.34473
11:54:03:664;11:54:03:658;404.0401
11:54:03:671;11:54:03:658;404.0401
11:54:03:679;11:54:03:658;404.0401
11:54:03:687;11:54:03:658;404.0401
11:54:03:695;11:54:03:658;404.0401
11:54:03:703;11:54:03:658;404.0401
11:54:03:710;11:54:03:658;404.0401
11:54:03:718;11:54:03:658;404.0401
11:54:03:726;11:54:03:658;404.0401
11:54:03:734;11:54:03:658;404.0401
11:54:03:742;11:54:03:658;404.0401
11:54:03:750;11:54:03:658;404.0401
11:54:03:757;11:54:03:658;404.0401
11:54:03:765;11:54:03:658;404.0401
11:54:03:773;11:54:03:658;404.0401
11:54:03:781;11:54:03:658;404.0401
11:54:03:789;11:54:03:788;405.63852
11:54:03:796;11:54:03:788;405.63852
11:54:03:804;11:54:03:788;405.63852
11:54:03:812;11:54:03:788;405.63852
11:54:03:820;11:54:03:788;405.63852
11:54:03:828;11:54:03:788;405.63852
11:54:03:835;11:54:03:788;405.63852
11:54:03:843;11:54:03:788;405.63852
11:54:03:851;11:54:03:788;405.63852
11:54:03:859;11:54:03:788;405.63852
11:54:03:867;11:54:03:788;405.63852
11:54:03:875;11:54:03:788;405.63852
11:54:03:882;11:54:03:788;405.63852
11:54:03:890;11:54:03:889;389.93588
11:54:03:898;11:54:03:889;389.93588
11:54:03:906;11:54:03:889;389.93588
11:54:03:914;11:54:03:889;389.93588
11:54:03:921;11:54:03:889;389.93588
11:54:03:929;11:54:03:889;389.93588
11:54:03:937;11:54:03:889;389.93588
11:54:03:945;11:54:03:889;389.93588
11:54:03:953;11:54:03:889;389.93588
11:54:03:960;11:54:03:889;389.93588
11:54:03:968;11:54:03:889;389.93588
11:54:03:976;11:54:03:889;389.93588
11:54:03:984;11:54:03:889;389.93588
11:54:03:992;11:54:03:889;389.93588
11:54:04:000;11:54:03:998;388.39944
11:54:04:007;11:54:03:998;388.39944
11:54:04:015;11:54:03:998;388.39944
11:54:04:023;11:54:03:998;388.39944
11:54:04:031;11:54:03:998;388.39944
11:54:04:039;11:54:03:998;388.39944
11:54:04:046;11:54:03:998;388.39944
11:54:04:054;11:54:03:998;388.39944
11:54:04:062;11:54:03:998;388.39944
