(time1+time2)/2;stress/non-stress
11:31:34:433;0
11:31:34:589;0
11:31:34:745;0
11:31:34:401;0
11:31:34:558;0
11:31:35:214;0
11:31:35:370;0
11:31:35:526;0
11:31:35:683;0
11:31:35:339;0
11:31:35:495;0
11:31:35:651;0
11:31:36:308;0
11:31:36:464;0
11:31:36:620;0
11:31:36:776;0
11:31:36:433;0
11:31:36:589;0
11:31:37:245;0
11:31:37:401;0
11:31:37:558;0
11:31:37:714;0
11:31:37:370;0
11:31:37:526;0
11:31:38:183;0
11:31:38:339;0
11:31:38:495;0
11:31:38:651;0
11:31:38:808;0
11:31:38:464;0
11:31:38:620;0
11:31:39:276;0
11:31:39:433;0
11:31:39:589;0
11:31:39:745;0
11:31:39:401;0
11:31:39:558;0
11:31:40:214;0
11:31:40:370;0
11:31:40:526;0
11:31:40:683;0
11:31:40:339;0
11:31:40:495;0
11:31:40:651;0
11:31:41:308;0
11:31:41:464;0
11:31:41:620;0
11:31:41:776;0
11:31:41:433;0
11:31:41:589;0
11:31:42:245;0
11:31:42:401;0
11:31:42:558;0
11:31:42:714;0
11:31:42:370;0
11:31:42:526;0
11:31:43:183;0
11:31:43:339;0
11:31:43:495;0
11:31:43:651;0
11:31:43:808;0
11:31:43:464;0
11:31:43:620;0
11:31:44:276;0
11:31:44:433;0
11:31:44:589;0
11:31:44:745;0
11:31:44:401;0
11:31:44:558;0
11:31:45:214;0
11:31:45:370;0
11:31:45:526;0
11:31:45:683;0
11:31:45:339;0
11:31:45:495;1
11:31:45:651;0
11:31:46:308;0
11:31:46:464;0
11:31:46:620;0
11:31:46:776;0
11:31:46:433;1
11:31:46:589;1
11:31:47:245;1
11:31:47:401;1
11:31:47:558;1
11:31:47:714;1
11:31:47:370;1
11:31:47:526;0
11:31:48:183;0
11:31:48:339;0
11:31:48:495;1
11:31:48:651;0
11:31:48:808;0
11:31:48:464;0
11:31:48:620;0
11:31:49:276;0
11:31:49:433;0
11:31:49:589;0
11:31:49:745;0
11:31:49:401;0
11:31:49:558;0
11:31:50:214;0
11:31:50:370;0
11:31:50:526;0
11:31:50:683;0
11:31:50:339;0
11:31:50:495;0
11:31:50:651;0
11:31:51:308;0
11:31:51:464;0
11:31:51:620;0
