median(time1,time2);stress/non-stress
14:50:49:187;1
14:50:49:343;1
14:50:49:500;1
14:50:49:656;1
14:50:49:812;1
14:50:49:968;1
14:50:50:125;1
14:50:50:281;0
14:50:50:437;0
14:50:50:593;0
14:50:50:750;0
14:50:50:906;0
14:50:51:062;0
14:50:51:218;0
14:50:51:375;0
14:50:51:531;0
14:50:51:687;0
14:50:51:843;0
14:50:52:000;0
14:50:52:156;0
14:50:52:312;0
14:50:52:468;0
14:50:52:625;0
14:50:52:781;0
14:50:52:937;0
14:50:53:093;0
14:50:53:250;0
14:50:53:406;0
14:50:53:562;0
14:50:53:718;0
14:50:53:875;0
14:50:54:031;0
14:50:54:187;0
14:50:54:343;0
14:50:54:500;0
14:50:54:656;0
14:50:54:812;0
14:50:54:968;0
14:50:55:125;0
14:50:55:281;0
14:50:55:437;0
14:50:55:593;0
14:50:55:750;0
14:50:55:906;0
14:50:56:062;0
14:50:56:218;0
14:50:56:375;0
14:50:56:531;0
14:50:56:687;0
14:50:56:843;0
14:50:57:000;0
14:50:57:156;0
14:50:57:312;0
14:50:57:468;0
14:50:57:625;0
14:50:57:781;0
14:50:57:937;0
14:50:58:093;0
14:50:58:250;0
14:50:58:406;0
14:50:58:562;0
14:50:58:718;0
14:50:58:875;0
14:50:59:031;0
14:50:59:187;0
14:50:59:343;0
14:50:59:500;0
14:50:59:656;0
14:50:59:812;0
14:50:59:968;0
14:51:00:125;0
14:51:00:281;0
14:51:00:437;0
14:51:00:593;0
14:51:00:750;0
14:51:00:906;0
14:51:01:062;0
14:51:01:218;0
14:51:01:375;0
14:51:01:531;0
14:51:01:687;0
14:51:01:843;0
14:51:02:000;0
14:51:02:156;0
14:51:02:312;0
14:51:02:468;0
14:51:02:625;0
14:51:02:781;0
14:51:02:937;0
14:51:03:093;0
14:51:03:250;0
14:51:03:406;0
14:51:03:562;0
14:51:03:718;0
14:51:03:875;0
14:51:04:031;0
14:51:04:187;0
14:51:04:343;0
14:51:04:500;0
14:51:04:656;0
14:51:04:812;0
14:51:04:968;0
14:51:05:125;0
14:51:05:281;0
14:51:05:437;0
14:51:05:593;0
14:51:05:750;0
14:51:05:906;0
14:51:06:062;0
14:51:06:218;0
14:51:06:375;0
14:51:06:531;0
14:51:06:687;0
14:51:06:843;0
14:51:07:000;0
14:51:07:156;0
14:51:07:312;0
14:51:07:468;0
14:51:07:625;0
14:51:07:781;0
14:51:07:937;0
14:51:08:093;0
14:51:08:250;0
14:51:08:406;0
14:51:08:562;0
14:51:08:718;0
14:51:08:875;0
14:51:09:031;0
14:51:09:187;0
14:51:09:343;0
14:51:09:500;0
14:51:09:656;0
14:51:09:812;0
14:51:09:968;0
14:51:10:125;0
14:51:10:281;0
14:51:10:437;0
14:51:10:593;0
14:51:10:750;0
14:51:10:906;0
14:51:11:062;0
14:51:11:218;0
14:51:11:375;0
14:51:11:531;0
14:51:11:687;0
14:51:11:843;0
14:51:12:000;0
14:51:12:156;0
14:51:12:312;0
14:51:12:468;0
14:51:12:625;0
14:51:12:781;0
14:51:12:937;0
14:51:13:093;0
14:51:13:250;0
14:51:13:406;0
14:51:13:562;0
14:51:13:718;0
14:51:13:875;0
14:51:14:031;0
14:51:14:187;0
14:51:14:343;0
14:51:14:500;0
14:51:14:656;0
14:51:14:812;0
14:51:14:968;0
14:51:15:125;0
14:51:15:281;0
14:51:15:437;0
14:51:15:593;0
14:51:15:750;0
14:51:15:906;0
14:51:16:062;0
14:51:16:218;0
14:51:16:375;0
14:51:16:531;0
14:51:16:687;0
14:51:16:843;0
14:51:17:000;0
14:51:17:156;0
14:51:17:312;0
14:51:17:468;0
14:51:17:625;0
14:51:17:781;0
14:51:17:937;0
14:51:18:093;0
14:51:18:250;0
14:51:18:406;0
14:51:18:562;0
14:51:18:718;0
14:51:18:875;0
14:51:19:031;0
14:51:19:187;0
14:51:19:343;0
14:51:19:500;0
14:51:19:656;0
14:51:19:812;0
14:51:19:968;0
14:51:20:125;0
14:51:20:281;0
14:51:20:437;0
14:51:20:593;0
14:51:20:750;0
14:51:20:906;0
14:51:21:062;1
14:51:21:218;1
14:51:21:375;1
14:51:21:531;1
14:51:21:687;1
14:51:21:843;0
14:51:22:000;0
14:51:22:156;0
14:51:22:312;0
14:51:22:468;0
14:51:22:625;0
14:51:22:781;0
14:51:22:937;0
14:51:23:093;0
14:51:23:250;0
14:51:23:406;0
14:51:23:562;0
14:51:23:718;0
14:51:23:875;0
14:51:24:031;0
14:51:24:187;0
14:51:24:343;0
14:51:24:500;0
14:51:24:656;0
14:51:24:812;0
14:51:24:968;0
14:51:25:125;0
14:51:25:281;0
14:51:25:437;0
14:51:25:593;0
14:51:25:750;0
14:51:25:906;0
14:51:26:062;0
14:51:26:218;0
14:51:26:375;0
14:51:26:531;0
14:51:26:687;0
14:51:26:843;0
14:51:27:000;0
14:51:27:156;0
14:51:27:312;0
14:51:27:468;0
14:51:27:625;0
14:51:27:781;0
14:51:27:937;0
14:51:28:093;0
14:51:28:250;0
14:51:28:406;0
14:51:28:562;0
14:51:28:718;0
14:51:28:875;0
14:51:29:031;0
14:51:29:187;0
14:51:29:343;0
14:51:29:500;0
14:51:29:656;0
14:51:29:812;0
