median(time1,time2);stress/non-stress
17:22:01:476;0
17:22:01:632;0
17:22:01:789;0
17:22:01:945;0
17:22:02:101;0
17:22:02:257;1
17:22:02:414;0
17:22:02:570;0
17:22:02:726;0
17:22:02:882;0
17:22:03:039;0
17:22:03:195;0
17:22:03:351;0
17:22:03:507;0
17:22:03:664;0
17:22:03:820;0
17:22:03:976;0
17:22:04:132;0
17:22:04:289;0
17:22:04:445;0
17:22:04:601;1
17:22:04:757;1
17:22:04:914;1
17:22:05:070;1
17:22:05:226;1
17:22:05:382;0
17:22:05:539;0
17:22:05:695;0
17:22:05:851;0
17:22:06:007;0
17:22:06:164;0
17:22:06:320;0
17:22:06:476;0
17:22:06:632;0
17:22:06:789;0
17:22:06:945;0
17:22:07:101;0
17:22:07:257;0
17:22:07:414;0
17:22:07:570;0
17:22:07:726;0
17:22:07:882;0
17:22:08:039;0
17:22:08:195;0
17:22:08:351;0
17:22:08:507;0
17:22:08:664;0
17:22:08:820;0
17:22:08:976;0
17:22:09:132;0
17:22:09:289;0
17:22:09:445;0
17:22:09:601;0
17:22:09:757;0
17:22:09:914;0
17:22:10:070;0
17:22:10:226;0
17:22:10:382;0
17:22:10:539;0
17:22:10:695;1
17:22:10:851;1
17:22:11:007;1
17:22:11:164;1
17:22:11:320;1
17:22:11:476;1
17:22:11:632;1
17:22:11:789;0
17:22:11:945;0
17:22:12:101;0
17:22:12:257;1
17:22:12:414;1
17:22:12:570;0
17:22:12:726;0
17:22:12:882;1
17:22:13:039;1
17:22:13:195;1
17:22:13:351;0
17:22:13:507;0
17:22:13:664;0
17:22:13:820;0
17:22:13:976;0
17:22:14:132;0
17:22:14:289;0
17:22:14:445;0
17:22:14:601;0
17:22:14:757;0
17:22:14:914;0
17:22:15:070;0
17:22:15:226;0
17:22:15:382;0
17:22:15:539;0
17:22:15:695;0
17:22:15:851;0
17:22:16:007;0
17:22:16:164;0
17:22:16:320;0
17:22:16:476;0
17:22:16:632;0
17:22:16:789;0
17:22:16:945;0
17:22:17:101;0
17:22:17:257;0
17:22:17:414;0
17:22:17:570;0
17:22:17:726;0
17:22:17:882;0
17:22:18:039;0
17:22:18:195;0
17:22:18:351;0
17:22:18:507;0
17:22:18:664;0
17:22:18:820;0
17:22:18:976;0
17:22:19:132;0
17:22:19:289;0
17:22:19:445;0
17:22:19:601;0
17:22:19:757;0
17:22:19:914;0
17:22:20:070;0
17:22:20:226;0
17:22:20:382;0
17:22:20:539;0
17:22:20:695;0
