(time1+time2)/2;stress/non-stress
9:1:29:198;0
9:1:29:355;0
9:1:29:511;0
9:1:29:667;0
9:1:29:323;0
9:1:29:480;0
9:1:29:636;0
9:1:30:292;0
9:1:30:448;0
9:1:30:605;0
9:1:30:761;0
9:1:30:417;0
9:1:30:573;0
9:1:31:230;0
9:1:31:386;0
9:1:31:542;0
9:1:31:698;0
9:1:31:355;0
9:1:31:511;0
9:1:31:667;0
9:1:32:323;0
9:1:32:480;0
9:1:32:636;0
9:1:32:792;0
9:1:32:448;0
9:1:32:605;0
9:1:33:261;0
9:1:33:417;0
9:1:33:573;0
9:1:33:730;0
9:1:33:386;0
9:1:33:542;0
9:1:34:198;0
9:1:34:355;0
9:1:34:511;0
9:1:34:667;0
9:1:34:323;0
9:1:34:480;0
9:1:34:636;0
9:1:35:292;0
9:1:35:448;0
9:1:35:605;0
9:1:35:761;0
9:1:35:417;0
9:1:35:573;0
9:1:36:230;0
9:1:36:386;0
9:1:36:542;0
9:1:36:698;0
9:1:36:355;0
9:1:36:511;0
9:1:36:667;0
9:1:37:323;0
9:1:37:480;0
9:1:37:636;0
9:1:37:792;0
9:1:37:448;0
9:1:37:605;0
9:1:38:261;0
9:1:38:417;0
9:1:38:573;0
9:1:38:730;0
9:1:38:386;0
9:1:38:542;0
9:1:39:198;0
9:1:39:355;0
9:1:39:511;0
9:1:39:667;0
9:1:39:323;0
9:1:39:480;0
9:1:39:636;0
9:1:40:292;0
9:1:40:448;0
9:1:40:605;0
9:1:40:761;0
9:1:40:417;0
9:1:40:573;0
9:1:41:230;0
9:1:41:386;0
9:1:41:542;0
9:1:41:698;0
9:1:41:355;0
9:1:41:511;0
9:1:41:667;0
9:1:42:323;0
9:1:42:480;0
9:1:42:636;0
9:1:42:792;0
9:1:42:448;0
9:1:42:605;0
9:1:43:261;0
9:1:43:417;0
9:1:43:573;0
9:1:43:730;0
9:1:43:386;0
9:1:43:542;0
9:1:44:198;0
9:1:44:355;0
9:1:44:511;0
9:1:44:667;0
9:1:44:323;1
9:1:44:480;0
9:1:44:636;0
9:1:45:292;0
9:1:45:448;0
9:1:45:605;0
9:1:45:761;0
9:1:45:417;0
9:1:45:573;0
9:1:46:230;0
9:1:46:386;0
9:1:46:542;0
9:1:46:698;0
9:1:46:355;0
9:1:46:511;0
9:1:46:667;0
9:1:47:323;0
9:1:47:480;0
9:1:47:636;0
9:1:47:792;0
9:1:47:448;0
9:1:47:605;0
9:1:48:261;0
9:1:48:417;0
9:1:48:573;0
9:1:48:730;0
9:1:48:386;0
9:1:48:542;0
9:1:49:198;0
9:1:49:355;0
9:1:49:511;0
9:1:49:667;0
9:1:49:323;0
9:1:49:480;0
9:1:49:636;0
9:1:50:292;0
9:1:50:448;0
9:1:50:605;0
9:1:50:761;0
9:1:50:417;0
9:1:50:573;0
9:1:51:230;0
9:1:51:386;0
9:1:51:542;0
9:1:51:698;0
9:1:51:355;0
9:1:51:511;0
9:1:51:667;0
9:1:52:323;0
9:1:52:480;0
9:1:52:636;0
9:1:52:792;0
9:1:52:448;0
9:1:52:605;1
9:1:53:261;0
9:1:53:417;0
9:1:53:573;0
9:1:53:730;0
9:1:53:386;0
9:1:53:542;0
9:1:54:198;0
9:1:54:355;0
9:1:54:511;0
9:1:54:667;0
9:1:54:323;0
9:1:54:480;0
9:1:54:636;0
9:1:55:292;0
9:1:55:448;0
9:1:55:605;0
9:1:55:761;0
9:1:55:417;0
9:1:55:573;0
9:1:56:230;0
9:1:56:386;0
9:1:56:542;0
9:1:56:698;0
9:1:56:355;0
