median(time1,time2);stress/non-stress
17:46:03:507;0
17:46:03:664;0
17:46:03:820;0
17:46:03:976;1
17:46:04:132;0
17:46:04:289;0
17:46:04:445;0
17:46:04:601;0
17:46:04:757;0
17:46:04:914;0
17:46:05:070;0
17:46:05:226;1
17:46:05:382;1
17:46:05:539;0
17:46:05:695;0
17:46:05:851;0
17:46:06:007;0
17:46:06:164;0
17:46:06:320;0
17:46:06:476;0
17:46:06:632;0
17:46:06:789;0
17:46:06:945;0
17:46:07:101;0
17:46:07:257;0
17:46:07:414;0
17:46:07:570;0
17:46:07:726;0
17:46:07:882;0
17:46:08:039;0
17:46:08:195;0
17:46:08:351;0
17:46:08:507;0
17:46:08:664;0
17:46:08:820;0
17:46:08:976;0
17:46:09:132;0
17:46:09:289;0
17:46:09:445;0
17:46:09:601;0
17:46:09:757;0
17:46:09:914;0
17:46:10:070;0
17:46:10:226;0
17:46:10:382;0
17:46:10:539;0
17:46:10:695;0
17:46:10:851;0
17:46:11:007;0
17:46:11:164;0
17:46:11:320;0
17:46:11:476;1
17:46:11:632;0
17:46:11:789;0
17:46:11:945;0
17:46:12:101;0
17:46:12:257;0
17:46:12:414;0
17:46:12:570;0
17:46:12:726;0
17:46:12:882;0
17:46:13:039;0
17:46:13:195;0
17:46:13:351;0
17:46:13:507;0
17:46:13:664;0
17:46:13:820;0
17:46:13:976;0
17:46:14:132;0
17:46:14:289;0
17:46:14:445;0
17:46:14:601;0
17:46:14:757;0
17:46:14:914;0
17:46:15:070;1
17:46:15:226;1
17:46:15:382;1
17:46:15:539;1
17:46:15:695;1
17:46:15:851;0
17:46:16:007;0
17:46:16:164;0
17:46:16:320;0
17:46:16:476;0
17:46:16:632;0
17:46:16:789;0
17:46:16:945;1
17:46:17:101;1
17:46:17:257;1
17:46:17:414;1
17:46:17:570;1
17:46:17:726;1
17:46:17:882;1
17:46:18:039;0
17:46:18:195;0
17:46:18:351;0
17:46:18:507;0
17:46:18:664;0
17:46:18:820;0
17:46:18:976;0
17:46:19:132;0
17:46:19:289;0
17:46:19:445;0
17:46:19:601;0
17:46:19:757;0
17:46:19:914;0
17:46:20:070;0
17:46:20:226;0
17:46:20:382;0
17:46:20:539;0
17:46:20:695;0
17:46:20:851;0
17:46:21:007;0
17:46:21:164;0
17:46:21:320;0
17:46:21:476;0
17:46:21:632;0
17:46:21:789;0
17:46:21:945;0
17:46:22:101;0
17:46:22:257;1
17:46:22:414;1
17:46:22:570;0
17:46:22:726;0
17:46:22:882;0
17:46:23:039;0
17:46:23:195;0
17:46:23:351;0
17:46:23:507;0
17:46:23:664;0
17:46:23:820;0
17:46:23:976;0
17:46:24:132;0
17:46:24:289;0
17:46:24:445;0
17:46:24:601;0
17:46:24:757;0
17:46:24:914;0
17:46:25:070;0
17:46:25:226;0
17:46:25:382;0
17:46:25:539;0
17:46:25:695;0
17:46:25:851;0
17:46:26:007;0
17:46:26:164;0
17:46:26:320;0
17:46:26:476;0
17:46:26:632;0
17:46:26:789;0
17:46:26:945;0
17:46:27:101;0
17:46:27:257;0
17:46:27:414;0
17:46:27:570;0
17:46:27:726;0
17:46:27:882;0
17:46:28:039;0
17:46:28:195;0
17:46:28:351;0
17:46:28:507;0
17:46:28:664;0
17:46:28:820;0
17:46:28:976;0
17:46:29:132;0
17:46:29:289;0
17:46:29:445;0
17:46:29:601;1
17:46:29:757;1
17:46:29:914;1
17:46:30:070;1
17:46:30:226;1
17:46:30:382;1
17:46:30:539;1
17:46:30:695;0
17:46:30:851;0
17:46:31:007;0
17:46:31:164;0
17:46:31:320;0
17:46:31:476;0
17:46:31:632;0
17:46:31:789;0
17:46:31:945;0
17:46:32:101;0
17:46:32:257;0
17:46:32:414;0
17:46:32:570;0
17:46:32:726;0
17:46:32:882;0
17:46:33:039;0
17:46:33:195;0
17:46:33:351;0
17:46:33:507;0
17:46:33:664;0
17:46:33:820;0
17:46:33:976;0
17:46:34:132;0
17:46:34:289;0
17:46:34:445;0
17:46:34:601;0
17:46:34:757;0
17:46:34:914;0
17:46:35:070;0
