(time1+time2)/2;stress/non-stress
14:4:38:511;1
14:4:38:667;1
14:4:38:323;1
14:4:38:480;1
14:4:38:636;0
14:4:39:292;0
14:4:39:448;0
14:4:39:605;0
14:4:39:761;0
14:4:39:417;0
14:4:39:573;0
14:4:40:230;0
14:4:40:386;0
14:4:40:542;0
14:4:40:698;0
14:4:40:355;0
14:4:40:511;0
14:4:40:667;0
14:4:41:323;0
14:4:41:480;0
14:4:41:636;0
14:4:41:792;0
14:4:41:448;0
14:4:41:605;0
14:4:42:261;0
14:4:42:417;0
14:4:42:573;0
14:4:42:730;0
14:4:42:386;0
14:4:42:542;0
14:4:43:198;0
14:4:43:355;0
14:4:43:511;0
14:4:43:667;0
14:4:43:323;0
14:4:43:480;0
14:4:43:636;0
14:4:44:292;0
14:4:44:448;0
14:4:44:605;0
14:4:44:761;0
14:4:44:417;0
14:4:44:573;0
14:4:45:230;0
14:4:45:386;0
14:4:45:542;0
14:4:45:698;0
14:4:45:355;0
14:4:45:511;0
14:4:45:667;0
14:4:46:323;0
14:4:46:480;0
14:4:46:636;0
14:4:46:792;0
14:4:46:448;0
14:4:46:605;0
14:4:47:261;0
14:4:47:417;0
14:4:47:573;0
14:4:47:730;0
14:4:47:386;0
14:4:47:542;0
14:4:48:198;0
14:4:48:355;0
14:4:48:511;0
14:4:48:667;0
14:4:48:323;0
14:4:48:480;0
14:4:48:636;0
14:4:49:292;0
14:4:49:448;0
14:4:49:605;0
14:4:49:761;0
14:4:49:417;0
14:4:49:573;0
14:4:50:230;0
14:4:50:386;0
14:4:50:542;0
14:4:50:698;0
14:4:50:355;0
14:4:50:511;0
14:4:50:667;0
14:4:51:323;0
14:4:51:480;0
14:4:51:636;0
14:4:51:792;0
14:4:51:448;0
14:4:51:605;0
14:4:52:261;0
14:4:52:417;0
14:4:52:573;0
14:4:52:730;0
14:4:52:386;0
14:4:52:542;0
14:4:53:198;0
14:4:53:355;0
14:4:53:511;0
14:4:53:667;0
14:4:53:323;0
14:4:53:480;0
14:4:53:636;0
14:4:54:292;0
14:4:54:448;0
14:4:54:605;0
14:4:54:761;0
14:4:54:417;0
14:4:54:573;0
14:4:55:230;0
14:4:55:386;0
14:4:55:542;0
14:4:55:698;0
14:4:55:355;0
14:4:55:511;0
14:4:55:667;0
14:4:56:323;0
14:4:56:480;0
14:4:56:636;0
14:4:56:792;0
14:4:56:448;0
14:4:56:605;0
14:4:57:261;0
14:4:57:417;0
14:4:57:573;0
14:4:57:730;1
14:4:27:386;1
14:4:27:542;1
14:4:28:198;0
14:4:28:355;0
14:4:28:511;0
14:4:28:667;0
14:4:28:323;0
14:4:28:480;0
14:4:28:636;0
14:4:29:292;0
14:4:29:448;0
14:4:29:605;0
14:4:29:761;0
14:4:29:417;0
14:4:29:573;0
14:4:30:230;0
14:4:30:386;0
14:4:30:542;0
14:4:30:698;0
